Vianco_data,,,,,
Gattung,GewogenAm,GewichtBezahlt,TVD,,
650 - SPG Kuhkalb,2017-01-05,61,120132794065,,CH120132794065
650 - SPG Kuhkalb,2017-01-05,61,120132794066,,CH120132794066
640 - SPG Stierkalb,2017-01-06,54,120132794067,,CH120132794067
640 - SPG Stierkalb,2017-01-06,58,120132794068,,CH120132794068
640 - SPG Stierkalb,2017-01-06,61,120132794069,,CH120132794069
640 - SPG Stierkalb,2017-01-06,64,1201327940610,,CH1201327940610
650 - SPG Kuhkalb,2017-01-06,66,1201327940611,,CH1201327940611
640 - SPG Stierkalb,2017-01-06,68,1201327940612,,CH1201327940612
650 - SPG Kuhkalb,2017-01-06,68,1201327940613,,CH1201327940613
640 - SPG Stierkalb,2017-01-06,69,1201327940614,,CH1201327940614
640 - SPG Stierkalb,2017-01-06,69,1201327940615,,CH1201327940615
650 - SPG Kuhkalb,2017-01-06,69,1201327940616,,CH1201327940616
650 - SPG Kuhkalb,2017-01-06,69,1201327940617,,CH1201327940617
640 - SPG Stierkalb,2017-01-06,70,1201327940618,,CH1201327940618
640 - SPG Stierkalb,2017-01-06,70,1201327940619,,CH1201327940619
640 - SPG Stierkalb,2017-01-06,70,1201327940620,,CH1201327940620
650 - SPG Kuhkalb,2017-01-06,70,1201327940621,,CH1201327940621
640 - SPG Stierkalb,2017-01-06,71,1201327940622,,CH1201327940622
640 - SPG Stierkalb,2017-01-06,71,1201327940623,,CH1201327940623
640 - SPG Stierkalb,2017-01-06,71,1201327940624,,CH1201327940624
640 - SPG Stierkalb,2017-01-06,71,1201327940625,,CH1201327940625
650 - SPG Kuhkalb,2017-01-06,71,1201327940626,,CH1201327940626
650 - SPG Kuhkalb,2017-01-06,71,1201327940627,,CH1201327940627
650 - SPG Kuhkalb,2017-01-06,71,1201327940628,,CH1201327940628
650 - SPG Kuhkalb,2017-01-06,71,1201327940629,,CH1201327940629
640 - SPG Stierkalb,2017-01-06,72,1201327940630,,CH1201327940630
640 - SPG Stierkalb,2017-01-06,72,1201327940631,,CH1201327940631
640 - SPG Stierkalb,2017-01-06,72,1201327940632,,CH1201327940632
640 - SPG Stierkalb,2017-01-06,72,1201327940633,,CH1201327940633
650 - SPG Kuhkalb,2017-01-06,72,1201327940634,,CH1201327940634
650 - SPG Kuhkalb,2017-01-06,72,1201327940635,,CH1201327940635
650 - SPG Kuhkalb,2017-01-06,72,1201327940636,,CH1201327940636
650 - SPG Kuhkalb,2017-01-06,73,1201327940637,,CH1201327940637
650 - SPG Kuhkalb,2017-01-06,73,1201327940638,,CH1201327940638
640 - SPG Stierkalb,2017-01-06,74,1201327940639,,CH1201327940639
640 - SPG Stierkalb,2017-01-06,74,1201327940640,,CH1201327940640
650 - SPG Kuhkalb,2017-01-06,74,1201327940641,,CH1201327940641
650 - SPG Kuhkalb,2017-01-06,74,1201327940642,,CH1201327940642
650 - SPG Kuhkalb,2017-01-06,74,1201327940643,,CH1201327940643
640 - SPG Stierkalb,2017-01-06,75,1201327940644,,CH1201327940644
640 - SPG Stierkalb,2017-01-06,75,1201327940645,,CH1201327940645
640 - SPG Stierkalb,2017-01-06,75,1201327940646,,CH1201327940646
640 - SPG Stierkalb,2017-01-06,75,1201327940647,,CH1201327940647
640 - SPG Stierkalb,2017-01-06,75,1201327940648,,CH1201327940648
640 - SPG Stierkalb,2017-01-06,75,1201327940649,,CH1201327940649
640 - SPG Stierkalb,2017-01-06,75,1201327940650,,CH1201327940650
640 - SPG Stierkalb,2017-01-06,75,1201327940651,,CH1201327940651
640 - SPG Stierkalb,2017-01-06,75,1201327940652,,CH1201327940652
640 - SPG Stierkalb,2017-01-06,75,1201327940653,,CH1201327940653
640 - SPG Stierkalb,2017-01-06,75,1201327940654,,CH1201327940654
640 - SPG Stierkalb,2017-01-06,75,1201327940655,,CH1201327940655
640 - SPG Stierkalb,2017-01-06,75,1201327940656,,CH1201327940656
640 - SPG Stierkalb,2017-01-06,75,1201327940657,,CH1201327940657
640 - SPG Stierkalb,2017-01-06,75,1201327940658,,CH1201327940658
640 - SPG Stierkalb,2017-01-06,75,1201327940659,,CH1201327940659
640 - SPG Stierkalb,2017-01-06,75,1201327940660,,CH1201327940660
640 - SPG Stierkalb,2017-01-06,75,1201327940661,,CH1201327940661
640 - SPG Stierkalb,2017-01-06,75,1201327940662,,CH1201327940662
640 - SPG Stierkalb,2017-01-06,75,1201327940663,,CH1201327940663
640 - SPG Stierkalb,2017-01-06,75,1201327940664,,CH1201327940664
640 - SPG Stierkalb,2017-01-06,75,1201327940665,,CH1201327940665
640 - SPG Stierkalb,2017-01-06,75,1201327940666,,CH1201327940666
640 - SPG Stierkalb,2017-01-06,75,1201327940667,,CH1201327940667
640 - SPG Stierkalb,2017-01-06,75,1201327940668,,CH1201327940668
640 - SPG Stierkalb,2017-01-06,75,1201327940669,,CH1201327940669
640 - SPG Stierkalb,2017-01-06,75,1201327940670,,CH1201327940670
640 - SPG Stierkalb,2017-01-06,75,1201327940671,,CH1201327940671
640 - SPG Stierkalb,2017-01-06,75,1201327940672,,CH1201327940672
640 - SPG Stierkalb,2017-01-06,75,1201327940673,,CH1201327940673
640 - SPG Stierkalb,2017-01-06,75,1201327940674,,CH1201327940674
640 - SPG Stierkalb,2017-01-06,75,1201327940675,,CH1201327940675
640 - SPG Stierkalb,2017-01-06,75,1201327940676,,CH1201327940676
640 - SPG Stierkalb,2017-01-06,75,1201327940677,,CH1201327940677
640 - SPG Stierkalb,2017-01-06,75,1201327940678,,CH1201327940678
640 - SPG Stierkalb,2017-01-06,75,1201327940679,,CH1201327940679
640 - SPG Stierkalb,2017-01-06,75,1201327940680,,CH1201327940680
640 - SPG Stierkalb,2017-01-06,75,1201327940681,,CH1201327940681
640 - SPG Stierkalb,2017-01-06,75,1201327940682,,CH1201327940682
640 - SPG Stierkalb,2017-01-06,75,1201327940683,,CH1201327940683
