Gattung,GewogenAm,TVDID,GewichtBezahlt,TVD,
650 - SPG Kuhkalb,2017-01-05,120132794065,61,CH120132794065,
650 - SPG Kuhkalb,2017-01-05,120132794072,61,CH120132794072,
640 - SPG Stierkalb,2017-01-06,120129832152,54,CH120129832152,
640 - SPG Stierkalb,2017-01-06,120129366589,58,CH120129366589,
640 - SPG Stierkalb,2017-01-06,120129295520,61,CH120129295520,
640 - SPG Stierkalb,2017-01-06,120133635077,64,CH120133635077,
650 - SPG Kuhkalb,2017-01-06,120127415098,66,CH120127415098,
640 - SPG Stierkalb,2017-01-06,120133495978,68,CH120133495978,
650 - SPG Kuhkalb,2017-01-06,120131272182,68,CH120131272182,
640 - SPG Stierkalb,2017-01-06,120124163466,69,CH120124163466,
640 - SPG Stierkalb,2017-01-06,120133635053,69,CH120133635053,
650 - SPG Kuhkalb,2017-01-06,120129776319,69,CH120129776319,
650 - SPG Kuhkalb,2017-01-06,120133495954,69,CH120133495954,
640 - SPG Stierkalb,2017-01-06,120129776302,70,CH120129776302,
640 - SPG Stierkalb,2017-01-06,120132694631,70,CH120132694631,
640 - SPG Stierkalb,2017-01-06,120131645900,70,CH120131645900,
650 - SPG Kuhkalb,2017-01-06,120129103863,70,CH120129103863,
640 - SPG Stierkalb,2017-01-06,120132215201,71,CH120132215201,
640 - SPG Stierkalb,2017-01-06,120129776340,71,CH120129776340,
640 - SPG Stierkalb,2017-01-06,120131741985,71,CH120131741985,
640 - SPG Stierkalb,2017-01-06,120131276760,71,CH120131276760,
650 - SPG Kuhkalb,2017-01-06,120128402028,71,CH120128402028,
650 - SPG Kuhkalb,2017-01-06,120129776289,71,CH120129776289,
650 - SPG Kuhkalb,2017-01-06,120125099818,71,CH120125099818,
650 - SPG Kuhkalb,2017-01-06,120123234327,71,CH120123234327,
640 - SPG Stierkalb,2017-01-06,120119944223,72,CH120119944223,
640 - SPG Stierkalb,2017-01-06,120130506936,72,CH120130506936,
640 - SPG Stierkalb,2017-01-06,120131272168,72,CH120131272168,
640 - SPG Stierkalb,2017-01-06,120126349783,72,CH120126349783,
650 - SPG Kuhkalb,2017-01-06,120129776333,72,CH120129776333,
650 - SPG Kuhkalb,2017-01-06,120129388062,72,CH120129388062,
650 - SPG Kuhkalb,2017-01-06,120126360320,72,CH120126360320,
650 - SPG Kuhkalb,2017-01-06,120133178734,73,CH120133178734,
650 - SPG Kuhkalb,2017-01-06,120127765162,73,CH120127765162,
640 - SPG Stierkalb,2017-01-06,120131793601,74,CH120131793601,
640 - SPG Stierkalb,2017-01-06,120122574974,74,CH120122574974,
650 - SPG Kuhkalb,2017-01-06,120124652229,74,CH120124652229,
650 - SPG Kuhkalb,2017-01-06,120130881491,74,CH120130881491,
650 - SPG Kuhkalb,2017-01-06,120130812549,74,CH120130812549,
640 - SPG Stierkalb,2017-01-06,120130634639,75,CH120130634639,
640 - SPG Stierkalb,2017-01-06,120129732872,75,CH120129732872,
640 - SPG Stierkalb,2017-01-06,120126520069,75,CH120126520069,
640 - SPG Stierkalb,2017-01-06,120116658222,75,CH120116658222,
640 - SPG Stierkalb,2017-01-06,120130020142,75,CH120130020142,
640 - SPG Stierkalb,2017-01-06,120126738556,75,CH120126738556,
640 - SPG Stierkalb,2017-01-06,120129776357,75,CH120129776357,
640 - SPG Stierkalb,2017-01-06,120114703429,75,CH120114703429,
640 - SPG Stierkalb,2017-01-06,120129499560,75,CH120129499560,
640 - SPG Stierkalb,2017-01-06,120128625090,75,CH120128625090,
640 - SPG Stierkalb,2017-01-06,120130609392,75,CH120130609392,
640 - SPG Stierkalb,2017-01-06,120129566798,75,CH120129566798,
640 - SPG Stierkalb,2017-01-06,120129030411,75,CH120129030411,
640 - SPG Stierkalb,2017-01-06,120126954116,75,CH120126954116,
640 - SPG Stierkalb,2017-01-06,120126875169,75,CH120126875169,
640 - SPG Stierkalb,2017-01-06,120129871816,75,CH120129871816,
640 - SPG Stierkalb,2017-01-06,120126738167,75,CH120126738167,
640 - SPG Stierkalb,2017-01-06,120132694648,75,CH120132694648,
640 - SPG Stierkalb,2017-01-06,120131741978,75,CH120131741978,
640 - SPG Stierkalb,2017-01-06,120132150526,75,CH120132150526,
640 - SPG Stierkalb,2017-01-06,120129366572,75,CH120129366572,
640 - SPG Stierkalb,2017-01-06,120121101751,75,CH120121101751,
640 - SPG Stierkalb,2017-01-06,120132216024,75,CH120132216024,
640 - SPG Stierkalb,2017-01-06,120124652243,75,CH120124652243,
640 - SPG Stierkalb,2017-01-06,120123876701,75,CH120123876701,
640 - SPG Stierkalb,2017-01-06,120130762882,75,CH120130762882,
640 - SPG Stierkalb,2017-01-06,120125071326,75,CH120125071326,
640 - SPG Stierkalb,2017-01-06,120128057495,75,CH120128057495,
640 - SPG Stierkalb,2017-01-06,120131645863,75,CH120131645863,
640 - SPG Stierkalb,2017-01-06,120128528964,75,CH120128528964,
640 - SPG Stierkalb,2017-01-06,120129331006,75,CH120129331006,
640 - SPG Stierkalb,2017-01-06,120133178727,75,CH120133178727,
640 - SPG Stierkalb,2017-01-06,120132257355,75,CH120132257355,
640 - SPG Stierkalb,2017-01-06,120131730637,75,CH120131730637,
640 - SPG Stierkalb,2017-01-06,120115436937,75,CH120115436937,
640 - SPG Stierkalb,2017-01-06,120127568237,75,CH120127568237,
640 - SPG Stierkalb,2017-01-06,120127343728,75,CH120127343728,
640 - SPG Stierkalb,2017-01-06,120124541479,75,CH120124541479,
640 - SPG Stierkalb,2017-01-06,120124541455,75,CH120124541455,
640 - SPG Stierkalb,2017-01-06,120131493662,75,CH120131493662,
